ObservedagentID;CounterpartyID;ContractID;InstrumentID;JointLiabilityAmount;CounterpartyRole;CounterpartyRoleEndDate
13369;6306310;PNU000000095;0631004;0.00;2;
13369;6306455;PNU000000043;0645502;0.00;2;
13369;6306492;PNU000000124;0649202;0.00;2;
13369;6306582;PNU000000013;0658203;0.00;2;
13369;6306586;PNU000000012;0658603;0.00;2;
13369;6306586;PNU000000038;0658604;0.00;2;
13369;6306720;PNU000000039;0672002;0.00;2;
13369;6306725;PNU000000042;0672502;0.00;2;
13369;6306729;PNU000000059;0672902;0.00;2;
13369;6306735;CAU000000178;CAU000000178;0.00;2;
13369;6306736;CAU000000177;CAU000000177;0.00;2;
13369;6306750;PNU000000048;0675002;0.00;2;
13369;6306757;PNU000000049;0675702;0.00;2;
13369;6306758;PNU000000050;0675802;0.00;2;
13369;6306770;PNU000000076;0677006;0.00;2;
13369;6306920;CAU000000102;CAU000000102;0.00;2;
13369;6307022;PNU000000069;0702203;0.00;2;
13369;6307148;PNU000000096;0714803;0.00;2;
13369;6307208;PNU000000088;0720803;0.00;2;
13369;6307300;PNU000000125;0730004;0.00;2;
13369;6307314;PNU000000108;0731403;0.00;2;
